TotalHands,WinCount,LossCount,TieCount,MaxWinStreak,MaxLossStreak,MaxTieStreak,WinPercentage,LossPercentage,TiePercentage,Bankroll
52,27,22,3,8,5,1,51.92%,42.31%,5.77%,26350
54,20,29,5,3,7,1,37.04%,53.70%,9.26%,27350
55,25,25,5,4,5,1,45.45%,45.45%,9.09%,28450
54,25,25,4,6,4,1,46.30%,46.30%,7.41%,29650
54,24,26,4,3,3,1,44.44%,48.15%,7.41%,30850
55,22,32,1,4,7,1,40.00%,58.18%,1.82%,31950
54,25,22,7,6,4,2,46.30%,40.74%,12.96%,33150
54,29,20,5,5,2,2,53.70%,37.04%,9.26%,34450
54,28,23,3,3,6,1,51.85%,42.59%,5.56%,35850
55,26,24,5,6,4,2,47.27%,43.64%,9.09%,37100
52,18,26,8,3,6,3,34.62%,50.00%,15.38%,38000
55,26,27,2,5,5,1,47.27%,49.09%,3.64%,39300
54,23,24,7,5,3,1,42.59%,44.44%,12.96%,40450
53,28,20,5,4,3,3,52.83%,37.74%,9.43%,41850
55,29,20,6,4,3,1,52.73%,36.36%,10.91%,43250
57,28,26,3,4,3,2,49.12%,45.61%,5.26%,44600
54,24,23,7,8,9,2,44.44%,42.59%,12.96%,40300
54,24,26,4,4,4,1,44.44%,48.15%,7.41%,41500
53,24,23,6,5,4,1,45.28%,43.40%,11.32%,42700
55,30,22,3,8,2,1,54.55%,40.00%,5.45%,44200
53,19,30,4,3,6,1,35.85%,56.60%,7.55%,45150
55,30,22,3,3,3,1,54.55%,40.00%,5.45%,46650
54,23,26,5,5,4,1,42.59%,48.15%,9.26%,47650
55,23,30,2,4,4,1,41.82%,54.55%,3.64%,48800
54,24,25,5,4,3,2,44.44%,46.30%,9.26%,49950
54,24,26,4,5,7,2,44.44%,48.15%,7.41%,50800
55,22,27,6,5,4,2,40.00%,49.09%,10.91%,51750
54,24,26,4,4,4,2,44.44%,48.15%,7.41%,52900
54,19,22,13,5,7,5,35.19%,40.74%,24.07%,53850
53,24,24,5,4,4,2,45.28%,45.28%,9.43%,55050
53,29,18,6,5,3,1,54.72%,33.96%,11.32%,56500
57,24,26,7,7,5,2,42.11%,45.61%,12.28%,57700
56,24,27,5,3,4,1,42.86%,48.21%,8.93%,58900
51,25,25,1,5,5,1,49.02%,49.02%,1.96%,60150
54,23,27,4,4,6,2,42.59%,50.00%,7.41%,61300
53,23,27,3,6,4,1,43.40%,50.94%,5.66%,62450
53,26,22,5,6,3,1,49.06%,41.51%,9.43%,63600
54,19,29,6,3,5,1,35.19%,53.70%,11.11%,64500
50,22,22,6,4,4,1,44.00%,44.00%,12.00%,65450
54,27,22,5,5,3,1,50.00%,40.74%,9.26%,66800
54,20,32,2,5,7,1,37.04%,59.26%,3.70%,67650
55,25,25,5,5,6,2,45.45%,45.45%,9.09%,68900
54,23,22,9,8,4,2,42.59%,40.74%,16.67%,69900
55,23,29,3,6,4,2,41.82%,52.73%,5.45%,71050
56,26,26,4,3,3,1,46.43%,46.43%,7.14%,72350
56,21,33,2,3,6,1,37.50%,58.93%,3.57%,73350
54,28,19,7,6,4,1,51.85%,35.19%,12.96%,74600
55,25,26,4,5,6,1,45.45%,47.27%,7.27%,75850
52,15,32,5,3,7,2,28.85%,61.54%,9.62%,76450
55,24,25,6,6,7,1,43.64%,45.45%,10.91%,77650
55,24,25,6,5,5,1,43.64%,45.45%,10.91%,78700
53,21,28,4,3,5,1,39.62%,52.83%,7.55%,79750
54,25,29,0,4,4,0,46.30%,53.70%,0.00%,80850
53,21,28,4,3,4,1,39.62%,52.83%,7.55%,81550
55,31,21,3,5,5,1,56.36%,38.18%,5.45%,83100
54,28,24,2,4,3,1,51.85%,44.44%,3.70%,84450
55,19,27,9,5,8,2,34.55%,49.09%,16.36%,85250
55,30,21,4,7,5,1,54.55%,38.18%,7.27%,86750
53,20,31,2,5,8,1,37.74%,58.49%,3.77%,75000
52,28,20,4,5,5,1,53.85%,38.46%,7.69%,76400
52,19,24,9,4,4,2,36.54%,46.15%,17.31%,77350
53,19,27,7,2,8,3,35.85%,50.94%,13.21%,78300
52,25,22,5,6,4,1,48.08%,42.31%,9.62%,79550
56,29,24,3,5,5,2,51.79%,42.86%,5.36%,81000
52,19,25,8,4,4,2,36.54%,48.08%,15.38%,81900
53,31,21,1,6,4,1,58.49%,39.62%,1.89%,83400
54,29,21,4,6,4,1,53.70%,38.89%,7.41%,84850
52,21,28,3,4,6,1,40.38%,53.85%,5.77%,85900
54,24,19,11,6,3,2,44.44%,35.19%,20.37%,87100
56,27,25,4,5,5,1,48.21%,44.64%,7.14%,88400
56,27,25,4,4,3,1,48.21%,44.64%,7.14%,89700
55,26,24,5,12,7,1,47.27%,43.64%,9.09%,89450
56,23,28,5,3,7,1,41.07%,50.00%,8.93%,90600
52,32,15,5,7,3,1,61.54%,28.85%,9.62%,92200
57,28,26,3,4,5,1,49.12%,45.61%,5.26%,93250
54,26,25,3,8,5,1,48.15%,46.30%,5.56%,94550
55,18,30,7,3,6,2,32.73%,54.55%,12.73%,95300
53,24,22,7,6,3,1,45.28%,41.51%,13.21%,96350
53,19,28,6,4,5,1,35.85%,52.83%,11.32%,97250
55,26,26,3,4,3,1,47.27%,47.27%,5.45%,98550
54,32,15,7,9,3,2,59.26%,27.78%,12.96%,100150
52,25,20,7,5,3,2,48.08%,38.46%,13.46%,101400
51,21,27,3,4,7,1,41.18%,52.94%,5.88%,102400
54,21,31,2,4,8,1,38.89%,57.41%,3.70%,103450
53,27,23,3,6,4,1,50.94%,43.40%,5.66%,104800
55,28,24,3,5,3,1,50.91%,43.64%,5.45%,106200
55,24,27,4,5,5,1,43.64%,49.09%,7.27%,106650
57,34,18,5,7,4,1,59.65%,31.58%,8.77%,108350
55,24,27,4,4,3,1,43.64%,49.09%,7.27%,109550
52,28,20,4,9,3,1,53.85%,38.46%,7.69%,110900
54,26,20,8,4,4,1,48.15%,37.04%,14.81%,112200
53,26,25,2,5,4,2,49.06%,47.17%,3.77%,113500
56,27,25,4,6,5,1,48.21%,44.64%,7.14%,114800
52,27,17,8,7,7,2,51.92%,32.69%,15.38%,116150
54,24,26,4,3,6,2,44.44%,48.15%,7.41%,117350
51,22,27,2,7,5,1,43.14%,52.94%,3.92%,118300
55,25,26,4,3,4,1,45.45%,47.27%,7.27%,119550
55,29,21,5,6,5,2,52.73%,38.18%,9.09%,120950
53,24,27,2,6,4,1,45.28%,50.94%,3.77%,122150
55,28,21,6,5,2,1,50.91%,38.18%,10.91%,123500
54,19,26,9,4,5,3,35.19%,48.15%,16.67%,124450
55,27,25,3,4,9,1,49.09%,45.45%,5.45%,125800
54,23,27,4,5,5,1,42.59%,50.00%,7.41%,126950
52,14,31,7,3,9,2,26.92%,59.62%,13.46%,127300
56,28,21,7,5,4,1,50.00%,37.50%,12.50%,128650
53,23,25,5,4,5,1,43.40%,47.17%,9.43%,129750
52,22,29,1,4,5,1,42.31%,55.77%,1.92%,130850
54,27,21,6,4,2,2,50.00%,38.89%,11.11%,132150
53,30,21,2,5,4,1,56.60%,39.62%,3.77%,133650
53,26,20,7,7,6,1,49.06%,37.74%,13.21%,134950
52,34,16,2,9,2,1,65.38%,30.77%,3.85%,136600
53,25,22,6,5,4,1,47.17%,41.51%,11.32%,137850
54,32,18,4,5,4,1,59.26%,33.33%,7.41%,139400
56,27,26,3,6,7,1,48.21%,46.43%,5.36%,140700
55,29,22,4,8,8,1,52.73%,40.00%,7.27%,129400
52,24,20,8,6,6,3,46.15%,38.46%,15.38%,129850
54,20,30,4,5,4,1,37.04%,55.56%,7.41%,130850
55,30,18,7,10,6,2,54.55%,32.73%,12.73%,132200
53,29,21,3,4,3,1,54.72%,39.62%,5.66%,133650
54,19,29,6,3,8,1,35.19%,53.70%,11.11%,134600
55,29,21,5,7,4,1,52.73%,38.18%,9.09%,136000
53,22,28,3,4,4,1,41.51%,52.83%,5.66%,136350
53,32,16,5,9,4,2,60.38%,30.19%,9.43%,137950
54,27,24,3,6,6,1,50.00%,44.44%,5.56%,139300
